lokalizacja;nazwa;tagi;adres;url;phone;town;
50.033075, 19.896863;Al Vecchio Forno;pizzeria;Skalica 23 a;http://aldentebistro.pl/;12 376 77 92;1;
50.018641, 19.981256;Aldente;pizzeria;Spó³dzielców 3;http://aldentebistro.pl/;12 655 55 95;1;
50.007956, 20.018794;Artur - Hotel Artur;restauracja;Aleksandry 30;http://www.hotelartur.pl/Strony/Restauracja/Karta_menu/;12 651 06 00;1;
50.018248, 19.896385;Asiana;restauracja ;Szwai 16;http://kuchniaorientalnadragon.pl/;12 311 82 29;1;
50.084336, 19.928397;Bac Bo;restauracja, azjatycka;Rusznikarska-Deptak 4;https://www.facebook.com/barbacbo;508 074 177;1;
50.013334, 19.894624;Bak³a¿an;restauracja, pizzeria;Kolista 12;http://www.baklazan-krakow.pl/;532 222 442;1;
50.048256, 19.961340;Bal;kawiarnia;Œlusarska 9;https://www.facebook.com/balnazablociu;734 411 733;1;
50.064942, 19.931121;Banolli;pizza, restauracja;Karmelicka 22;http://banolli.pl;12 432 32 32;1;
50.073370, 19.980793;Banolli;pizza, restauracja;Janusza Meissnera 19;http://banolli.pl;12 417 19 19;1;
50.073733, 20.041916;Banolli;pizza, restauracja;os. Centrum B 8;http://banolli.pl;12 680 44 44;1;
50.037859, 20.027338;Banolli;pizza, restauracja;Christo Botewa 2G;http://banolli.pl;12 432 11 22;1;
50.008317, 19.948717;Banolli;pizza, restauracja;Porucznika Halszki 29;http://banolli.pl;12 654 44 44;1;
50.038625, 20.034547;Banolli;pizza, restauracja;Christo Botewa;http://banolli.pl;12 452 02 89;1;
50.018748, 19.896963;Banolli;pizza, restauracja;Chmieleniec 2B;http://banolli.pl;12 266 11 11;1;
50.045270, 19.947686;Bao-Nam;restauracja, azjatycka;Brodziñskiego 3;http://baonamkrakow.pl;;1;
50.0362263, 19.9378316;Bar Alabama;bar,przek¹ski;rondo Matecznego;http://www.hotdogi.info/;;1;
50.007875, 19.921675;Bar Kiemliczówka;bar;Zawi³a 8;;;1;
50.061547, 19.927510;Bar Pod Kopytkiem;bar;plac Sikorskiego 1;;;1;
50.045528, 19.982743;Bar Kormoran;bar;P³aszowska 65;http://barkormoran.eu;12 656 13 76;1;
50.032140, 19.948431;Bar Maestro;bar;Kamieñskiego 10;;603 588 604;1;
50.023641, 19.992221;"Bar Mleczny ""Zdrowie""";bar;Genera³a Jakuba Jasiñskiego 30;;12 658 24 49;1;
50.044899, 19.953067;Bar mleczny Krakus;bar;Limanowskiego 16;;12 656 68 83;1;
50.044594, 19.948432;Bar Mleczny Po³udniowy;bar;Kazimierza Brodziñskiego 2;;;1;
49.999958, 19.911506;Bar na Klinach;bar;Forteczna 51F;http://barnaklinach.pl;507 737 378;1;
50.031474, 19.920071;Bar Ruczaj;bar, restauracja;Grota-Roweckiego 9;;12 269 32 51;1;
50.062827, 19.934311;Multi Qlti Tap Bar;bar,pub;Szewska 21;https://www.facebook.com/multiqlti;12 341 58 47;1;
50.037342, 19.940087;Belagio cafe & grill;restauracja;Kalwaryjska 96;http://belagio.pl;534 399 929;1;
50.067066, 19.950107;Bistro Palce Lizaæ;restauracja;Topolowa 3;http://palcelizac.pl;;1;
50.046276, 19.949548;Bistroteka;restauracja;Nadwiœlañska 3;;;1;
50.046769, 19.950518;Boulevard 11 Bistro & Wine;restauracja;bulwar Podolski;;602 215 966;1;
50.028576, 19.949145;Burger King;restauracja, fast food;Kamieñskiego 11;http://burgerking.pl;71 386 16 34;1;
50.066699, 19.945395;Burger King;restauracja, fast food;Galeria Krakowska, Pawia 5;http://burgerking.pl;71 386 14 88;1;
50.042959, 19.947239;Cafe Cinema Paradiso;kino, bar, kawiarnia;plac Niepodleg³oœci 1;https://www.facebook.com/Cinema.Paradiso.Krakow;29 636 96 12;1;
50.012100, 19.977696;Cafe Kontynenty;kawiarnia;Adama Bochenka 16a;http://cafekontynenty.pl;603 868 918;1;
50.051048, 19.931627;Cafe Manggha;restauracja;Marii Konopnickiej 26;http://cafemanggha.com.pl;691 777 766;1;
50.047642, 19.961572;Cafe Mocak;muzeum, kawiarnia;Lipowa 4;http://mocak.pl;12 263 40 00;1;
50.045262, 19.948172;Cafe Rêkawka;kawiarnia;Kazimierza Brodziñskiego 4B;;12 296 20 02;1;
50.067502, 19.934437;Calavera;restauracja, meksykañska;Biskupia 4/1;http://calavera.pl;537 035 285;1;
50.067886, 19.918644;Capri New;pizzeria;Chopina 33;http://caprinew.pl;12 630 99 99;1;
50.045361, 19.948288;Pizzeria Capri New;pizzeria;Kazimierza Brodziñskiego 6;http://caprinew.pl;505 771 807;1;
50.046018, 19.949170;Cawa;kawiarnia;Nadwiœlañska 1;http://cawacafe.pl;12 656 74 56;1;
50.014328, 19.927917;Cesare Ristorante;restauracja;Zakopiañska 105;http://cesareristorante.pl;12 268 02 02;1;
50.045041, 19.948427;Chicken Cafe;restauracja;Kazimierza Brodziñskiego 2;;536 582 059;1;
50.045343, 19.952398;Chili Chili Pizza;pizzeria;Krakusa 13;http://chili-chili.pl;510 510 924;1;
50.044386, 19.952033;Churrasco;restauracja;Krakusa 11;http://churrasco.com.pl;791 001 522;1;
50.095607, 19.962536;Coffee Cargo;kawiarnia;aleja 29 Listopada 155A;http://coffeeproficiency.com;792 646 171;1;
50.033920, 19.873750;Czarci Grill;restauracja;Tyniecka 118 H;http://czarcigrillpizzamefisto.pl;12 267 90 54;1;
50.028539, 19.917201;Da Grasso;pizzeria;Zygmunta Mi³kowskiego 21;http://dagrasso.pl;12 266 66 26;1;
50.055686, 19.946507;Da Grasso;pizzeria;Starowiœlna 32;http://dagrasso.pl;504 915 663;1;
50.067661, 19.915426;Da Grasso;pizzeria;Czarnowiejska 97;http://dagrasso.pl;504 908 800;1;
50.088578, 19.934239;Da Grasso;pizzeria;Genera³a Augusta Fieldorfa-Nila 17;http://dagrasso.pl;12 622 71 80;1;
50.081150, 20.014853;Da Grasso;pizzeria;Os. Dywizjonu 303 56 c;http://dagrasso.pl;12 640 91 47;1;
50.045159, 19.952094;Delecta;restauracja, w³oska;Boles³awa Limanowskiego 11;http://restauracja-delecta.pl;12 423 50 01;1;
50.027787, 19.950978;Dominium;pizzeria;Kamieñskiego 11;http://gustodominium.pl;22 210 10 10;1;
50.061034, 19.936186;Dominium;pizzeria;Rynek G³ówny 22;http://gustodominium.pl;22 210 10 10;1;
50.066791, 19.945370;Dominium;pizzeria;Pawia 5;http://gustodominium.pl;22 210 10 10;1;
50.087502, 19.981505;Dominium;pizzeria;Aleja Genera³a Tadeusza Bora-Komorowskiego 37;http://gustodominium.pl;22 210 10 10;1;
50.092236, 19.955842;Domino`s Pizza;pizzeria;Bociana 3;http://dominospizza.pl;12 334 90 04;1;
50.077206, 20.017010;Domino`s Pizza;pizzeria;Medweckiego 2;http://dominospizza.pl;13 334 90 04;1;
50.078353, 19.879518;Domino`s Pizza;pizzeria;Samuela Bogumi³a Lindego 1;http://dominospizza.pl;12 334 90 02;1;
50.025947, 19.904449;Easy Rider;bar;Zachodnia 27;http://easyriderbar.pl;12 257 00 21;1;
50.048881, 19.944869;El Toro;restauracja, hiszpañska;Wolnica 9;http://eltoro-restauracja.pl;12 421 47 33;1;
50.008761, 19.961442;Extrimm;restauracja;Turniejowa 73F/30;http://extrimm.net;12 659 94 94;1;
50.051184, 19.946794;Fabryka Pizzy;pizzeria;Józefa 34;http://fabrykapizzy.pl;12 433 80 80;1;
50.063306, 19.937181;Fabryka Pizzy;pizzeria;S³awkowska 3;http://fabrykapizzy.pl;12 422 32 00;1;
50.067107, 19.955549;Fabryka Pizzy;pizzeria;Aleksandra Lubomirskiego 41;http://fabrykapizzy.pl;12 432 01 01;1;
50.077958, 19.891863;Fabryka Pizzy;pizzeria;Stañczyka 14;http://fabrykapizzy.pl;12 445 64 25;1;
50.017830, 19.894907;Fabryka Pizzy;pizzeria;Lubostroñ 22G/5;http://fabrykapizzy.pl;12 354 04 04;1;
50.006676, 19.967337;Fabryka Pizzy;pizzeria;Kijanki 2;http://fabrykapizzy.pl;502 281 664;1;
50.046254, 19.954787;Foodology Panini Bar;bar, kanapki;plac Bohaterów Getta 16;https://www.facebook.com/foodology.panini;12 346 19 21;1;
50.045268, 19.936003;Forum Przestrzenie;kawiarnia;Marii Konopnickiej 28;http://forumprzestrzenie.com;515 544 097;1;
50.046280, 19.955707;Galicja po kolei;restauracja;Lwowska 4;http://galicjapokolei.pl;12 296 24 13;1;
50.033608, 19.936767;Galicya - Hotel Best Western;hotel, restauracja;Rzemieœlnicza 4;http://bwkrakow.pl;12 269 07 72;1;
50.043427, 19.969996;Gia Long;restauracja, azjatycka, orientalna;Krzywda 1;http://king-square.pl;787 234 166;1;
50.019404, 19.897407;G³êbokie Talerze;restauracja, zupy;Chmieleniec 2A;http://glebokietalerze.pl;733 036 033;1;
50.073173, 19.916665;Hellada;restauracja, grecka;Królewska 55;http://hellada.com.pl;12 637 20 86;1;
50.047183, 19.962410;Hindus;restauracja, indyjska;Lipowa 7;http://hindusfood.pl;502 822 377;1;
50.038952, 19.941581;Hoang Hai;restauracja, orientalna;Kalwaryjska 70;http://hoanghai.pl;12 423 60 98;1;
50.039558, 19.925531;Hoang Hai;restauracja, orientalna;Kapelanka 15A;http://hoanghai.pl;12 266 16 78;1;
50.053021, 19.929668;Hoang Hai;restauracja, orientalna;Zamkowa 1;http://hoanghai.pl;12 269 12 35;1;
50.053076, 19.939882;Hoang Hai;restauracja, orientalna;Stradomska 13;http://hoanghai.pl;12 422 35 99;1;
50.007838, 19.893288;Hoi An;restauracja, orientalna;Doktora Józefa Babiñskiego 2;http://foursquare.com;12 257 10 18;1;
49.980176, 19.913367;Hotel Travel;hotel, restauracja;Jerzego Smoleñskiego 110;http://hoteltravel.pl;12 256 37 07;1;
50.017804, 19.895966;Indian Curry;restaruacja, indyjska;JANA SZWAI 14/LU3;http://indiancurry.pl;530 645 222;1;
50.047543, 19.960061;Industrial Resto & Bar;restauracja;Lipowa 4C;http://restoindustrial.pl;12 263 86 26;1;
50.070240, 19.936886 ;Jad³odajnia u Ma³gosi;jad³odajnia;D³uga 41;;;1;
50.047138, 19.955309;Jad³odajnia wczoraj i dziœ;restauracja;plac Bohaterów Getta 10;http://jadlodajnia.com;12 656 20 75;1;
50.015265, 19.950474;Kapitan;restauracja;Go³aœka 1;http://restauracja-kapitan.pl;12 425 59 89;1;
50.033713, 19.873215;Karczma Rzym;restauracja;Tyniecka 118h;http://karczmarzym.krakow.pl;12 266 17 29;1;
50.046371, 19.955600;Kawiarnia Lwowska;kawiarnia;Lwowska 2;http://lwowska.qp.pl;12 445 51 10;1;
50.057944, 19.937861;Faraon. Kebab Bar;kebab;Grodzka 41;;12 421 32 60;1;
50.067549, 19.913082;Kebab przy Szlabanie;kebab;Kawiory;http://kebab.najlepszywkrakowie.pl;;1;
50.011904, 19.926762;Faraon. Kebab Bar;kebab;Orzechowa 1;;501 301 145;1;
50.063768, 19.925098;Benek. Kebab Bar;kebab;Czysta 16;;506 008 993;1;
50.048294, 19.944032;Kebab pod 13;kebab;plac Wolnica 13;;690 465 643;1;
50.060992, 19.934969;Faraon. Kebab Bar;kebab;Wiœlna 5;;;1;
50.070825, 19.916873;U szwagra;kebab;Juliusza Lea 26;http://uszwagra.com.pl;;1;
50.056069, 19.928557;U szwagra;kebab;Retoryka 28;http://uszwagra.com.pl;;1;
50.065486, 19.930471;U szwagra;kebab;Karmelicka 26;http://uszwagra.com.pl;506 442 243;1;
50.014729, 19.932686;KFC;restauracja, fast food;Zakopiañska 62;http://kfc.pl;71 386 16 65;;
50.063501, 19.940508;KFC;restauracja, fast food;Floriañska 33;http://kfc.pl;801 464 646;;
50.068578, 19.946196;KFC;restauracja, fast food;Pawia 5;http://kfc.pl;801 464 646;;
50.086967, 19.981714;KFC;restauracja, fast food;Aleja Genera³a Tadeusza Bora-Komorowskiego 37;http://kfc.pl;801 464 646;;
50.087129, 20.005118;KFC;restauracja, fast food;aleja Genera³a W³adys³awa Andersa 21B;http://kfc.pl;71 386 17 25;;
50.082404, 20.022405;KFC;restauracja, fast food;osiedle Niepodleg³oœci 3;http://kfc.pl;801 464 646;;
50.088801, 19.927115;KFC;restauracja, fast food;Krowoderskich Zuchów 21;http://kfc.pl;801 464 646;;
50.027863, 19.948937;KFC;restauracja, fast food;Kamieñskiego 11;http://kfc.pl;801 464 646;;
50.086956, 19.892952;KFC;restauracja, fast food;Josepha Conrada 83;http://kfc.pl;801 464 646;;
50.076294, 20.016101;KFC;restauracja, fast food;Mieczys³awa Medweckiego 2;http://kfc.pl;801 464 646;;
50.093005, 19.895805;KFC;restauracja, fast food;Stawowa 61;http://kfc.pl;71 386 19 57;;
49.980856, 19.909851;KFC;restauracja, fast food;Góra Libertowska 8,;http://kfc.pl;71 386 16 04;;
50.052754, 19.956203;KFC;restauracja, fast food;Podgórska 34;http://kfc.pl;801 464 646;;
50.044491, 19.946061;Köfteci Rafet;restauracja, turecka;Legionów Józefa Pi³sudskiego 2;;730 529 188;1;
50.030440, 19.828359;Kolna Lunch Bar;bar;Kolna 2;http://kolna.pl;12 259 35 40;1;
50.049976, 19.926554;Konfederacka 4;restauracja;Konfederacka 4,;;533 623 066;1;
50.023971, 19.903654;Konfitura;restaruacja;Roberta Jahody 2;;12 358 84 09;1;
50.047448, 19.962888;Krako Slow Grill & Pavel Portoyan;winiarnia;Lipowa 6F;http://krakoslowwines.pl;669 225 222;1;
50.001455, 19.904840;Kto Wypuœci³ Skowronka ?;restauracja;Borkowska 32;http://ktowypuscilskowronka.pl;533 317 779;1;
50.052711, 19.945215;Kuchnia Domowa;restauracja;Miodowa 25;http://kuchniadomowa.oberza.pl;790 733 790;1;
50.054445, 19.946531;"Kuchnia Domowa ""MARKO""";restauracja;Joselewicza 9;http://kuchniamarko.pl;12 395 70 04;;
50.045472, 19.957855;Nó¿ i Widelec Kuchnia Domowa;restauracja;Romualda Traugutta 22;http://noziwideleckuchniadomowa.pl;12 378 32 20;;
50.018087, 19.895742;Kuchnia Domowa Obiadek;restauracja;Jana Szwai 16;http://kuchniadomowaobiadek.pl;725 201 241;;
50.016585, 19.972136;Kuchnia Rodzinna;restauracja, bar mleczny;Bia³oruska 8;https://www.facebook.com/kuchniarodzinna;881 010 915;1;
50.008525, 19.934607;La Forchetta;restauracja;Józefa Marcika 27;http://laforchetta.pl;792 717 720;1;
50.014233, 20.037192;Magillo;restauracja;Wojciecha Lipowskiego 24;http://magillo.pl;12 658 68 18;1;
50.045397, 19.947968;Makaroniarnia;restauracja;Brodziñskiego 3;http://makaroniarnia.com;12 430 01 47;1;
50.012419, 19.945403;Martello;restauracja, pizzeria;Chmielna 18A;http://martello.com.pl;12 655 60 42;1;
50.028466, 19.950639;McDonald's;restauracja, fast food;Kamieñskiego 11;http://mcdonalds.pl;668 482 467;;
50.034701, 19.940228;McDonald's;restauracja, fast food;Wadowicka 2A;http://mcdonalds.pl;602 115 540;;
50.032558, 19.970417;McDonald's;restauracja, fast food;Wielicka 85;http://mcdonalds.pl;694 495 938;;
50.074370, 20.016038;McDonald's;restauracja, fast food;Mieczys³awa Medweckiego 13;http://mcdonalds.pl;664 913 093;;
50.064390, 19.941341;McDonald's;restauracja, fast food;Floriañska 55;http://mcdonalds.pl;694 495 935;;
50.062021, 19.935630;McDonald's;restauracja, fast food;Szewska 2;http://mcdonalds.pl;694 495 939;;
50.064368, 19.983681;McDonald's;restauracja, fast food;Aleja Pokoju 44;http://mcdonalds.pl;694 495 942;;
50.064172, 19.999672;McDonald's;restauracja, fast food;Aleja Pokoju 67;http://mcdonalds.pl;694 495 940;;
50.066813, 19.946502;McDonald's;restauracja, fast food;Pawia 5;http://mcdonalds.pl;608 313 593;;
50.053112, 19.956449;McDonald's;restauracja, fast food;Podgórska 34;http://mcdonalds.pl;799 821 568;;
50.079748, 19.971612;McDonald's;restauracja, fast food;Pilotów 6;http://mcdonalds.pl;668 862 707;;
50.086235, 19.978879;McDonald's;restauracja, fast food;Aleja Genera³a Tadeusza Bora-Komorowskiego 33;http://mcdonalds.pl;668 862 709;;
50.090708, 19.930393;McDonald's;restauracja, fast food;Opolska 9;http://mcdonalds.pl;668 862 708;;
50.088248, 19.892800;McDonald's;restauracja, fast food;Jasnogórska 2;http://mcdonalds.pl;694 495 937;;
50.092996, 19.896211;McDonald's;restauracja, fast food;Stawowa 61;http://mcdonalds.pl;728 857 498;;
;Mekong;;;;;1;
;Mekong;;;;;1;
;Miejscówka;;;;;1;
;Miêdzy Nami;;;;;1;
;Mini Bar;;;;;1;
;Mini Bar;;;;;1;
;Nasze Smaki;;;;;1;
;New York Pizza;;;;;1;
;New York Pizza;;;;;1;
;New York Pizza;;;;;1;
;North Fish;;;;;1;
;North Fish;;;;;1;
;Nó¿ & Widelec;;;;;1;
;Ober¿a S¹siadów;;;;;1;
;Obiadkownia;;;;;1;
;Ogniem i Mieczem;;;;;1;
;Ogród Kulinarny;;;;;1;
;Olimp;;;;;1;
;Oregano;;;;;1;
;O-ren sushi;;;;;1;
;Pan&Cake;;;;;1;
;PapaYo;;;;;1;
;Patio;;;;;1;
;Pho Hanoi;;;;;1;
;Phuong Dong;;;;;1;
;Pierogarnia Green Frog;;;;;1;
;Pizza & Pasta;;;;;1;
;Pizza Chata;;;;;1;
;Pizza Garden;;;;;1;
;Pizza House;;;;;1;
;Pizza Hut;;;;;1;
;Pizza Muffin Truck;;;;;1;
;Pizza Napoletana;;;;;1;
;Pizzeria 00;;;;;1;
;Pizzeria Anakonda;;;;;1;
;Pizzeria Bolzano;;;;;1;
;Pizzeria Fun;;;;;1;
;Pizzeria Furore;;;;;1;
;Pizzeria Halabala;;;;;1;
;Pizzeria Husajn;;;;;1;
;Pizzeria Kliny;;;;;1;
;Pizzeria Pepe;;;;;1;
;Pizzeria Rewolucja;;;;;1;
;Pizzeria Toskania;;;;;1;
;Pizzeria u Teœciowej;;;;;1;
;Pizzeriada;;;;;1;
;Po Drodze Bar;;;;;1;
;Podgórski Salon Degustacyjny;;;;;1;
;Point Frappe;;;;;1;
;Pokusa;;;;;1;
;Pomodorino;;;;;1;
;Pó³ na pó³;;;;;1;
;Praska;;;;;1;
;Primo Gastronomia;;;;;1;
;Przysmaki z Wodnych Ogrodów;;;;;1;
;Przystanek Pierogarnia;;;;;1;
;Pycha Micha;;;;;1;
;Qualita - Hotel Best Western;;;;;1;
;Rancho Texas;;;;;1;
;Real Greek;;;;;1;
;Restauracja - Hotel Alf;;;;;1;
;Restauracja - Hotel Benefis;;;;;1;
;Restauracja - Hotel Poleski;;;;;1;
;Restauracja Bona- Hotel Bona;;;;;1;
;Restauracja Hotel City;;;;;1;
;Restauracja- Hotel Fero Express;;;;;1;
;Restauracja Irlandia;;;;;1;
;Restauracja Kupiecka;;;;;1;
;Restauracja Ogieñ - Hotel Qubus;;;;;1;
;Restauracja Tyniecka- Hotel Tyniecki;;;;;1;
;Restauracja Wodnik;;;;;1;
;Rimini;;;;;1;
;Rozmaryn - Hotel Sympozjum;;;;;1;
;Sababa Kebab & Grill;;;;;1;
;Sevi Oriental;;;;;1;
;Sezony;;;;;1;
;Smaczny Kês;;;;;1;
;Spaghetteria;;;;;1;
;Spaghetteria Pizza & Pasta;;;;;1;
;Sphinx;;;;;1;
;Stara Chata Ro¿en & Grill;;;;;1;
;Subway;;;;;1;
;Sushi California;;;;;1;
;Szara Gêœ;;;;;1;
;Szuwary Cafe;;;;;1;
;Œwinka;;;;;1;
;Tao by Zen;;;;;1;
;Tarasy Tynieckie;;;;;1;
;Tawerna na Hornie;;;;;1;
;Telepizza;;;;;1;
;Teresita;;;;;1;
;Thien Phuoc;;;;;1;
;Trattoria Cavalli;;;;;1;
;Trattoria da Suchano;;;;;1;
;Trattoria Rialto;;;;;1;
;Tre Xanh;;;;;1;
;Trzej Kucharze;;;;;1;
;Trzy Kaczki;;;;;1;
;Turkish Food in Krakow;;;;;1;
;Twój Kucharz;;;;;1;
;U Francesco;;;;;1;
;U Fryca;;;;;1;
;U Pana Cogito;;;;;1;
;Venezia;;;;;1;
;Verona;;;;;1;
;Wok Sushi;;;;;1;
;Yana Sushi;;;;;1;
;Yeti Pizza;;;;;1;
;Zab³ocie 13;;;;;1;
;Zacny Burger;;;;;1;
;Zak³adka Food and Wine;;;;;1;
;Zapiekanki Ekspress;;;;;1;
;Zayka;;;;;1;
;Zupitto;;;;;1;
;¯ó³ty Smok;;;;;1;
;;;;;;;
50.0452559, 19.938953,15;bao-nam;restauracja,azjatycka;Brodziñskiego 3;http://baonamkrakow.pl/;;1;
50.0452553, 19.938953,15;edo fusion asian cuisine;restauracja,azjatycka;Miodowa 8;http://www.edofusion.pl/;;1;
50.0564907, 19.9521473;phong hai;restauracja,azjatycka;Grzegórzecka 69;http://www.phonghai.pl/;;1;dwie
;mekong;restauracja,azjatycka;;;;1;
50.0182687, 19.8876412,15;asiana;restauracja,azjatycka;Szwai 16;http://kuchniaorientalnadragon.pl/;;1;
50.0935296, 19.9358585,15;chiñski pa³ac;restauracja,azjatycka;Józefa Mackiewicza 14;http://chinskipalac.krakow.pl/?page_id=104&lang=en;;1;
50.0531308, 19.9209566,15;hoang-hai;restauracja,azjatycka;Zamkowa 1;http://hoanghai.pl/index.php;;1;
;Wok;restauracja,azjatycka;;;;1;dwie
;sai-gon;restauracja,azjatycka;;;;1;
;horai;restauracja,azjatycka;;;;1;
50.0078307, 19.8845444,15;hoi an;restauracja,azjatycka;Doktora Józefa Babiñskiego 2;https://foursquare.com/v/hoi-an-restauracja-orientalna/5443d21a498e75fcbd666523;;1;
;haoang-hai;restauracja,azjatycka;;;;1;dwie
50.0482366, 19.9263101,13;pod norenami;restauracja,azjatycka;Krupnicza 6;http://www.podnorenami.pl/en/;;1;
;yellow dog;restauracja,azjatycka;;;;1;
50.0362249, 19.9225107,14;OmOm;bar,przek¹ski;Dajwór 19;;530 960 077;1;
50.0536941, 19.9314512,14;Zaraz Wracam Tu;bar,przek¹ski;Miodowa 51;http://www.zarazwracam.com/;;1;
;;bar,przek¹ski;;;;1;
;;bar,przek¹ski;;;;1;
;;bar,przek¹ski;;;;1;
;;bar,przek¹ski;;;;1;
;;bar,przek¹ski;;;;1;
;;bar,przek¹ski;;;;1;
;;bar,przek¹ski;;;;1;
;;bar,przek¹ski;;;;1;
;;bar,przek¹ski;;;;1;
;;bar,przek¹ski;;;;1;
;;bar,przek¹ski;;;;1;
;;bar,przek¹ski;;;;1;
;;bar,przek¹ski;;;;1;
;;bar,przek¹ski;;;;1;
;;bar,przek¹ski;;;;1;
;;bar,przek¹ski;;;;1;
;;bar,przek¹ski;;;;1;
;;bar,przek¹ski;;;;1;
;;bar,przek¹ski;;;;1;
;;bar,przek¹ski;;;;1;
;;bar,przek¹ski;;;;1;
